event_id,user_id,event_date,funnel_stage
E000001,U00001,2025-03-18,Signup
E000002,U00001,2025-03-18,Email Verified
E000003,U00001,2025-03-22,Trial Started
E000004,U00002,2025-06-09,Signup
E000005,U00002,2025-06-13,Email Verified
E000006,U00002,2025-06-10,Trial Started
E000007,U00002,2025-06-13,Feature Used
E000008,U00002,2025-06-14,Subscription Purchased
E000009,U00002,2025-06-12,Retained 30 Days
E000010,U00003,2025-04-25,Signup
E000011,U00003,2025-04-21,Email Verified
E000012,U00003,2025-04-26,Trial Started
E000013,U00003,2025-04-25,Feature Used
E000014,U00003,2025-04-24,Subscription Purchased
E000015,U00004,2025-01-14,Signup
E000016,U00004,2025-01-15,Email Verified
E000017,U00004,2025-01-15,Trial Started
E000018,U00004,2025-01-16,Feature Used
E000019,U00005,2025-04-16,Signup
E000020,U00005,2025-04-17,Email Verified
E000021,U00006,2025-05-23,Signup
E000022,U00006,2025-05-26,Email Verified
E000023,U00007,2025-05-22,Signup
E000024,U00008,2025-02-18,Signup
E000025,U00008,2025-02-20,Email Verified
E000026,U00008,2025-02-21,Trial Started
E000027,U00008,2025-02-22,Feature Used
E000028,U00008,2025-02-24,Subscription Purchased
E000029,U00008,2025-02-23,Retained 30 Days
E000030,U00009,2025-04-18,Signup
E000031,U00009,2025-04-16,Email Verified
E000032,U00009,2025-04-20,Trial Started
E000033,U00009,2025-04-21,Feature Used
E000034,U00009,2025-04-21,Subscription Purchased
E000035,U00010,2025-06-15,Signup
E000036,U00010,2025-06-13,Email Verified
E000037,U00010,2025-06-16,Trial Started
E000038,U00010,2025-06-17,Feature Used
E000039,U00010,2025-06-17,Subscription Purchased
E000040,U00011,2025-02-19,Signup
E000041,U00012,2025-01-09,Signup
E000042,U00012,2025-01-10,Email Verified
E000043,U00012,2025-01-10,Trial Started
E000044,U00012,2025-01-16,Feature Used
E000045,U00012,2025-01-13,Subscription Purchased
E000046,U00012,2025-01-13,Retained 30 Days
E000047,U00013,2025-03-23,Signup
E000048,U00013,2025-03-26,Email Verified
E000049,U00013,2025-03-27,Trial Started
E000050,U00013,2025-03-25,Feature Used
E000051,U00013,2025-03-27,Subscription Purchased
E000052,U00013,2025-03-30,Retained 30 Days
E000053,U00014,2025-02-02,Signup
E000054,U00014,2025-02-04,Email Verified
E000055,U00015,2025-06-01,Signup
E000056,U00015,2025-05-30,Email Verified
E000057,U00016,2025-01-04,Signup
E000058,U00016,2025-01-05,Email Verified
E000059,U00017,2025-04-07,Signup
E000060,U00017,2025-04-11,Email Verified
E000061,U00017,2025-04-14,Trial Started
E000062,U00018,2025-03-07,Signup
E000063,U00018,2025-03-10,Email Verified
E000064,U00018,2025-03-09,Trial Started
E000065,U00018,2025-03-14,Feature Used
E000066,U00019,2025-02-26,Signup
E000067,U00019,2025-02-24,Email Verified
E000068,U00019,2025-02-28,Trial Started
E000069,U00020,2025-05-26,Signup
E000070,U00020,2025-05-26,Email Verified
E000071,U00021,2025-02-04,Signup
E000072,U00021,2025-02-08,Email Verified
E000073,U00021,2025-02-08,Trial Started
E000074,U00021,2025-02-10,Feature Used
E000075,U00021,2025-02-12,Subscription Purchased
E000076,U00022,2025-03-03,Signup
E000077,U00023,2025-06-08,Signup
E000078,U00023,2025-06-10,Email Verified
E000079,U00024,2025-02-27,Signup
E000080,U00024,2025-03-01,Email Verified
E000081,U00024,2025-02-27,Trial Started
E000082,U00025,2025-06-09,Signup
E000083,U00025,2025-06-10,Email Verified
E000084,U00025,2025-06-11,Trial Started
E000085,U00025,2025-06-07,Feature Used
E000086,U00026,2025-04-01,Signup
E000087,U00026,2025-04-01,Email Verified
E000088,U00026,2025-04-05,Trial Started
E000089,U00026,2025-04-03,Feature Used
E000090,U00026,2025-04-04,Subscription Purchased
E000091,U00026,2025-04-07,Retained 30 Days
E000092,U00027,2025-04-13,Signup
E000093,U00027,2025-04-14,Email Verified
E000094,U00028,2025-05-18,Signup
E000095,U00028,2025-05-16,Email Verified
E000096,U00028,2025-05-15,Trial Started
E000097,U00028,2025-05-16,Feature Used
E000098,U00029,2025-05-31,Signup
E000099,U00029,2025-06-03,Email Verified
E000100,U00029,2025-06-03,Trial Started
E000101,U00029,2025-06-03,Feature Used
E000102,U00030,2025-04-20,Signup
E000103,U00031,2025-04-19,Signup
E000104,U00031,2025-04-21,Email Verified
E000105,U00031,2025-04-21,Trial Started
E000106,U00031,2025-04-19,Feature Used
E000107,U00031,2025-04-22,Subscription Purchased
E000108,U00032,2025-03-31,Signup
E000109,U00032,2025-03-31,Email Verified
E000110,U00033,2025-06-08,Signup
E000111,U00034,2025-06-20,Signup
E000112,U00034,2025-06-24,Email Verified
E000113,U00034,2025-06-21,Trial Started
E000114,U00034,2025-06-25,Feature Used
E000115,U00034,2025-06-23,Subscription Purchased
E000116,U00034,2025-06-25,Retained 30 Days
E000117,U00035,2025-04-17,Signup
E000118,U00035,2025-04-15,Email Verified
E000119,U00035,2025-04-18,Trial Started
E000120,U00035,2025-04-21,Feature Used
E000121,U00035,2025-04-21,Subscription Purchased
E000122,U00035,2025-04-18,Retained 30 Days
E000123,U00036,2025-05-21,Signup
E000124,U00036,2025-05-22,Email Verified
E000125,U00036,2025-05-27,Trial Started
E000126,U00036,2025-05-24,Feature Used
E000127,U00036,2025-05-26,Subscription Purchased
E000128,U00036,2025-05-31,Retained 30 Days
E000129,U00037,2025-02-09,Signup
E000130,U00037,2025-02-10,Email Verified
E000131,U00037,2025-02-11,Trial Started
E000132,U00038,2025-01-08,Signup
E000133,U00039,2025-05-13,Signup
E000134,U00039,2025-05-16,Email Verified
E000135,U00039,2025-05-19,Trial Started
E000136,U00039,2025-05-21,Feature Used
E000137,U00039,2025-05-19,Subscription Purchased
E000138,U00040,2025-05-12,Signup
E000139,U00040,2025-05-14,Email Verified
E000140,U00040,2025-05-14,Trial Started
E000141,U00041,2025-03-04,Signup
E000142,U00042,2025-02-09,Signup
E000143,U00042,2025-02-11,Email Verified
E000144,U00042,2025-02-12,Trial Started
E000145,U00042,2025-02-14,Feature Used
E000146,U00043,2025-05-12,Signup
E000147,U00044,2025-02-01,Signup
E000148,U00044,2025-01-31,Email Verified
E000149,U00044,2025-02-05,Trial Started
E000150,U00044,2025-02-06,Feature Used
E000151,U00044,2025-02-05,Subscription Purchased
E000152,U00044,2025-02-05,Retained 30 Days
E000153,U00045,2025-05-23,Signup
E000154,U00045,2025-05-25,Email Verified
E000155,U00046,2025-01-20,Signup
E000156,U00046,2025-01-22,Email Verified
E000157,U00046,2025-01-23,Trial Started
E000158,U00046,2025-01-25,Feature Used
E000159,U00046,2025-01-22,Subscription Purchased
E000160,U00047,2025-05-02,Signup
E000161,U00047,2025-05-04,Email Verified
E000162,U00047,2025-05-06,Trial Started
E000163,U00048,2025-01-08,Signup
E000164,U00048,2025-01-09,Email Verified
E000165,U00048,2025-01-10,Trial Started
E000166,U00048,2025-01-12,Feature Used
E000167,U00049,2025-05-08,Signup
E000168,U00049,2025-05-10,Email Verified
E000169,U00049,2025-05-10,Trial Started
E000170,U00049,2025-05-11,Feature Used
E000171,U00050,2025-05-23,Signup
E000172,U00050,2025-05-24,Email Verified
E000173,U00051,2025-04-05,Signup
E000174,U00051,2025-04-08,Email Verified
E000175,U00051,2025-04-11,Trial Started
E000176,U00051,2025-04-08,Feature Used
E000177,U00051,2025-04-13,Subscription Purchased
E000178,U00051,2025-04-13,Retained 30 Days
E000179,U00052,2025-04-22,Signup
E000180,U00052,2025-04-25,Email Verified
E000181,U00052,2025-04-25,Trial Started
E000182,U00052,2025-04-25,Feature Used
E000183,U00052,2025-04-28,Subscription Purchased
E000184,U00052,2025-04-28,Retained 30 Days
E000185,U00053,2025-01-22,Signup
E000186,U00053,2025-01-19,Email Verified
E000187,U00053,2025-01-25,Trial Started
E000188,U00053,2025-01-25,Feature Used
E000189,U00053,2025-01-26,Subscription Purchased
E000190,U00053,2025-01-27,Retained 30 Days
E000191,U00054,2025-03-21,Signup
E000192,U00054,2025-03-27,Email Verified
E000193,U00054,2025-03-27,Trial Started
E000194,U00054,2025-03-26,Feature Used
E000195,U00054,2025-03-29,Subscription Purchased
E000196,U00054,2025-03-27,Retained 30 Days
E000197,U00055,2025-06-14,Signup
E000198,U00055,2025-06-15,Email Verified
E000199,U00055,2025-06-16,Trial Started
E000200,U00055,2025-06-17,Feature Used
E000201,U00056,2025-06-30,Signup
E000202,U00056,2025-07-03,Email Verified
E000203,U00056,2025-07-01,Trial Started
E000204,U00056,2025-07-02,Feature Used
E000205,U00056,2025-07-03,Subscription Purchased
E000206,U00056,2025-07-05,Retained 30 Days
E000207,U00057,2025-02-27,Signup
E000208,U00058,2025-06-12,Signup
E000209,U00058,2025-06-14,Email Verified
E000210,U00059,2025-01-15,Signup
E000211,U00060,2025-03-20,Signup
E000212,U00060,2025-03-20,Email Verified
E000213,U00060,2025-03-23,Trial Started
E000214,U00061,2025-01-10,Signup
E000215,U00061,2025-01-13,Email Verified
E000216,U00061,2025-01-09,Trial Started
E000217,U00062,2025-01-14,Signup
E000218,U00062,2025-01-13,Email Verified
E000219,U00063,2025-04-10,Signup
E000220,U00063,2025-04-14,Email Verified
E000221,U00063,2025-04-15,Trial Started
E000222,U00063,2025-04-13,Feature Used
E000223,U00063,2025-04-17,Subscription Purchased
E000224,U00063,2025-04-15,Retained 30 Days
E000225,U00064,2025-03-12,Signup
E000226,U00064,2025-03-12,Email Verified
E000227,U00064,2025-03-17,Trial Started
E000228,U00065,2025-01-16,Signup
E000229,U00065,2025-01-18,Email Verified
E000230,U00066,2025-03-31,Signup
E000231,U00066,2025-04-01,Email Verified
E000232,U00066,2025-04-03,Trial Started
E000233,U00066,2025-04-04,Feature Used
E000234,U00067,2025-03-28,Signup
E000235,U00068,2025-02-28,Signup
E000236,U00068,2025-03-05,Email Verified
E000237,U00068,2025-03-04,Trial Started
E000238,U00068,2025-03-04,Feature Used
E000239,U00068,2025-03-07,Subscription Purchased
E000240,U00068,2025-03-06,Retained 30 Days
E000241,U00069,2025-03-24,Signup
E000242,U00070,2025-01-05,Signup
E000243,U00070,2025-01-02,Email Verified
