user_id,signup_date,country,device_type,acquisition_channel,user_type,company_size,experiment_group
U00001,2025-03-16,UK,Tablet,Referral,Business,228,A
U00002,2025-06-07,India,Desktop,Organic,Business,404,B
U00003,2025-04-20,Australia,Desktop,Organic,Business,226,B
U00004,2025-01-11,Australia,Desktop,Referral,Business,264,B
U00005,2025-04-15,India,Tablet,Google Ads,Individual,1,A
U00006,2025-05-22,Australia,Mobile,Direct,Individual,1,B
U00007,2025-05-20,Canada,Desktop,Google Ads,Individual,1,A
U00008,2025-02-15,UK,Mobile,Referral,Individual,1,A
U00009,2025-04-13,UK,Mobile,Google Ads,Individual,1,B
U00010,2025-06-11,India,Desktop,Direct,Individual,1,B
U00011,2025-02-15,Canada,Desktop,Referral,Individual,1,A
U00012,2025-01-08,India,Desktop,Organic,Individual,1,B
U00013,2025-03-20,UK,Tablet,Direct,Business,72,B
U00014,2025-02-02,Canada,Tablet,Organic,Individual,1,A
U00015,2025-05-28,Australia,Tablet,Organic,Individual,1,B
U00016,2025-01-02,Canada,Tablet,Referral,Business,306,B
U00017,2025-04-07,Canada,Desktop,Direct,Business,471,A
U00018,2025-03-07,UK,Tablet,Organic,Business,162,A
U00019,2025-02-23,UK,Mobile,Organic,Individual,1,A
U00020,2025-05-21,India,Desktop,Google Ads,Business,309,B
U00021,2025-02-04,Canada,Mobile,LinkedIn Ads,Business,165,A
U00022,2025-02-26,USA,Mobile,Organic,Individual,1,B
U00023,2025-06-05,Canada,Tablet,Direct,Individual,1,A
U00024,2025-02-23,Australia,Desktop,Direct,Business,483,A
U00025,2025-06-04,USA,Mobile,Organic,Business,390,B
U00026,2025-03-29,Australia,Tablet,Google Ads,Business,256,B
U00027,2025-04-08,UK,Mobile,Referral,Business,397,A
U00028,2025-05-13,UK,Tablet,Referral,Business,354,A
U00029,2025-05-28,India,Tablet,Organic,Business,15,B
U00030,2025-04-19,Canada,Tablet,Organic,Individual,1,A
U00031,2025-04-16,India,Desktop,Google Ads,Business,131,B
U00032,2025-03-30,India,Tablet,Organic,Business,322,A
U00033,2025-06-07,India,Mobile,Referral,Business,197,B
U00034,2025-06-18,Canada,Desktop,Direct,Individual,1,B
U00035,2025-04-13,Australia,Mobile,LinkedIn Ads,Business,101,B
U00036,2025-05-21,Australia,Mobile,Referral,Individual,1,B
U00037,2025-02-09,USA,Mobile,Direct,Individual,1,B
U00038,2025-01-04,Canada,Mobile,Organic,Individual,1,A
U00039,2025-05-13,Canada,Mobile,Google Ads,Individual,1,B
U00040,2025-05-11,Canada,Tablet,Direct,Business,88,A
U00041,2025-02-27,USA,Mobile,LinkedIn Ads,Individual,1,A
U00042,2025-02-07,India,Tablet,LinkedIn Ads,Individual,1,B
U00043,2025-05-08,USA,Mobile,Organic,Individual,1,A
U00044,2025-01-29,UK,Desktop,Google Ads,Business,120,B
U00045,2025-05-23,USA,Tablet,LinkedIn Ads,Business,80,A
U00046,2025-01-18,India,Desktop,Organic,Business,1,A
U00047,2025-05-01,Canada,Desktop,Direct,Individual,1,B
U00048,2025-01-05,India,Desktop,Direct,Business,237,A
U00049,2025-05-07,India,Desktop,Referral,Business,219,A
U00050,2025-05-23,India,Tablet,Direct,Individual,1,B
U00051,2025-04-05,UK,Tablet,LinkedIn Ads,Business,54,B
U00052,2025-04-21,UK,Tablet,Referral,Individual,1,A
U00053,2025-01-18,Canada,Mobile,Direct,Individual,1,A
U00054,2025-03-21,India,Mobile,Google Ads,Individual,1,B
U00055,2025-06-14,USA,Desktop,Google Ads,Individual,1,B
U00056,2025-06-29,UK,Desktop,Organic,Business,448,B
U00057,2025-02-23,UK,Tablet,Organic,Business,129,B
U00058,2025-06-11,India,Mobile,LinkedIn Ads,Business,73,A
U00059,2025-01-10,India,Mobile,Google Ads,Individual,1,A
U00060,2025-03-17,Australia,Mobile,LinkedIn Ads,Individual,1,A
U00061,2025-01-07,Canada,Tablet,Organic,Individual,1,B
U00062,2025-01-11,Australia,Tablet,LinkedIn Ads,Individual,1,A
U00063,2025-04-09,USA,Tablet,Google Ads,Individual,1,B
U00064,2025-03-10,USA,Mobile,LinkedIn Ads,Individual,1,A
U00065,2025-01-12,UK,Mobile,LinkedIn Ads,Individual,1,A
U00066,2025-03-27,India,Desktop,Organic,Individual,1,A
U00067,2025-03-23,UK,Tablet,Google Ads,Individual,1,B
U00068,2025-02-27,Canada,Desktop,Google Ads,Individual,1,B
U00069,2025-03-20,Canada,Mobile,LinkedIn Ads,Business,1,B
U00070,2025-01-01,Canada,Tablet,LinkedIn Ads,Business,359,A
U00071,2025-04-26,Canada,Desktop,Organic,Individual,1,B
U00072,2025-05-21,USA,Desktop,Google Ads,Individual,1,A
U00073,2025-02-16,UK,Tablet,LinkedIn Ads,Individual,1,A
U00074,2025-02-08,USA,Tablet,Google Ads,Business,202,B
U00075,2025-04-13,Australia,Desktop,Google Ads,Individual,1,B
U00076,2025-03-12,UK,Mobile,Google Ads,Individual,1,B
U00077,2025-05-15,USA,Desktop,Direct,Business,216,B
U00078,2025-03-16,USA,Mobile,Direct,Individual,1,A
U00079,2025-01-16,USA,Tablet,LinkedIn Ads,Business,193,B
U00080,2025-01-03,UK,Tablet,Direct,Individual,1,B
U00081,2025-04-12,UK,Mobile,Referral,Business,224,B
U00082,2025-05-30,Australia,Tablet,LinkedIn Ads,Business,141,A
U00083,2025-01-16,India,Tablet,LinkedIn Ads,Business,71,A
U00084,2025-02-23,India,Mobile,Google Ads,Individual,1,B
U00085,2025-03-27,UK,Tablet,Organic,Individual,1,A
U00086,2025-04-07,USA,Tablet,LinkedIn Ads,Business,461,B
U00087,2025-01-07,Canada,Desktop,Google Ads,Individual,1,B
U00088,2025-06-23,USA,Desktop,Referral,Business,121,A
U00089,2025-03-04,UK,Mobile,LinkedIn Ads,Individual,1,B
U00090,2025-05-19,Canada,Desktop,Referral,Individual,1,A
U00091,2025-05-01,India,Mobile,Referral,Individual,1,A
U00092,2025-02-19,USA,Mobile,Organic,Individual,1,B
U00093,2025-05-28,USA,Desktop,Organic,Individual,1,A
U00094,2025-03-18,USA,Tablet,Organic,Individual,1,B
U00095,2025-02-11,UK,Mobile,Direct,Business,453,B
U00096,2025-03-28,Australia,Desktop,LinkedIn Ads,Individual,1,B
U00097,2025-04-04,USA,Tablet,Organic,Business,227,A
U00098,2025-04-01,UK,Desktop,Google Ads,Individual,1,B
U00099,2025-04-02,Canada,Mobile,Organic,Individual,1,B
U00100,2025-04-04,Australia,Desktop,LinkedIn Ads,Individual,1,B
U00101,2025-01-23,Australia,Desktop,Google Ads,Business,128,A
U00102,2025-06-22,UK,Tablet,Organic,Individual,1,B
U00103,2025-02-21,Australia,Desktop,Referral,Business,325,B
U00104,2025-05-08,Canada,Tablet,Direct,Individual,1,A
